ethnicity,region,total,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 34,Age 35 to 39,Age 40 to 44,Age 45 to 49,Age 50 to 54,Age 55 to 59,Age 60 to 64,Age 65 to 69,Age 70 to 74,Age 75 to 79,Age 80 to 84,Age 85 and over
All categories: Ethnic group,east,5846965,361269,201093,127419,345453,73398,148076,137223,352974,362643,363808,387651,432514,435701,380369,340626,372566,294329,237064,198778,151359,142652
White: Total,east,5310194,302356,170129,109585,302661,64820,130962,120400,307956,313252,311639,340276,391970,403414,356837,323373,360696,286250,229995,193851,148754,141018
White: English/Welsh/Scottish/Northern Irish/British,east,4986170,281440,161102,104439,290143,62444,125907,114998,283391,270781,270548,309800,366914,382402,339782,309334,347866,276145,221205,186878,143637,137014
White: Irish,east,55573,1043,625,443,1191,247,498,575,1881,2423,2933,3598,4565,4717,4199,4513,4969,5023,4487,3641,2316,1686
White: Gypsy or Irish Traveller,east,8165,864,464,340,823,155,315,249,572,585,504,577,565,508,437,337,319,209,145,103,57,37
White: Other White,east,260286,19009,7938,4363,10504,1974,4242,4578,22112,39463,37654,26301,19926,15787,12419,9189,7542,4873,4158,3229,2744,2281
Mixed/multiple ethnic group: Total,east,112116,21307,10313,5794,14130,2695,5047,4420,9671,7943,6696,5509,5162,4348,2827,1707,1324,978,807,636,414,388
Mixed/multiple ethnic group: White and Black Caribbean,east,37222,6126,3227,1969,5258,1083,2117,1854,3703,2576,1775,1575,1655,1526,857,432,327,304,269,250,177,162
Mixed/multiple ethnic group: White and Black African,east,15388,3859,1685,848,1917,326,527,461,1009,958,1007,829,616,488,350,204,98,81,55,26,24,20
Mixed/multiple ethnic group: White and Asian,east,32226,6381,3150,1726,4102,753,1312,1203,2667,2150,1846,1502,1443,1211,816,550,434,284,243,204,119,130
Mixed/multiple ethnic group: Other Mixed,east,27280,4941,2251,1251,2853,533,1091,902,2292,2259,2068,1603,1448,1123,804,521,465,309,240,156,94,76
Asian/Asian British: Total,east,278372,24826,13643,8220,18759,3831,7858,7948,24458,28518,30804,27457,20767,15187,12991,10928,7765,4957,4331,2830,1468,826
Asian/Asian British: Indian,east,86736,6894,3448,1918,4437,874,1684,1756,6310,9296,10800,8805,6713,5425,4855,4217,3222,2126,1774,1193,590,399
Asian/Asian British: Pakistani,east,66270,8166,4529,2814,5913,1109,2174,1997,5511,7101,6929,5256,4086,2486,2341,2007,1128,782,886,603,319,133
Asian/Asian British: Bangladeshi,east,32992,3856,2324,1520,3282,654,1093,1019,2994,3382,3399,3057,2038,1209,930,736,356,291,462,261,95,34
Asian/Asian British: Chinese,east,33503,1463,835,463,1510,457,1227,1582,5397,3397,2965,2784,2346,2305,2044,1712,1239,636,505,320,196,120
